team,group,P(R32),P(R32)_delta,P(R16),P(R16)_delta,P(QF),P(QF)_delta,P(SF),P(SF)_delta,P(Final),P(Final)_delta,P(win),P(win)_delta,P(group_winner),P(group_winner)_delta
Turkey,D,0.4244,-0.248,0.191,-0.1538,0.0644,-0.0658,0.0268,-0.0201,0.0088,-0.0065,0.0031,-0.0011,0.0522,-0.1651
Ivory Coast,E,0.9636,0.1822,0.3993,0.0672,0.1166,0.0078,0.0396,0.0064,0.0114,0.0014,0.0028,0.0001,0.267,0.1247
Sweden,F,0.9603,0.3088,0.292,0.0935,0.1224,0.041,0.0403,0.0123,0.012,0.0034,0.0027,0.0003,0.2589,0.1242
Senegal,I,0.583,-0.1049,0.2297,-0.0556,0.0883,-0.019,0.029,-0.0086,0.0089,-0.0032,0.0026,-0.0008,0.0152,-0.1061
Algeria,J,0.5436,-0.1244,0.1847,-0.0316,0.0673,-0.017,0.0221,-0.0053,0.0064,-0.0005,0.0021,0.0004,0.0094,-0.0739
Scotland,C,0.8304,0.1956,0.2858,0.0649,0.103,0.0202,0.0293,0.0043,0.0081,0.0012,0.0019,0.0001,0.1562,0.0801
Canada,B,0.8116,-0.0595,0.3622,-0.0363,0.1177,-0.0149,0.0275,-0.0037,0.0073,-0.001,0.0015,-0.0005,0.4295,0.0433
Egypt,G,0.754,0.0619,0.3424,0.0349,0.1053,0.0071,0.0275,0.0012,0.0066,-0.0002,0.0014,-0.0001,0.1986,0.0344
Czech Republic,A,0.4769,-0.1692,0.1943,-0.0966,0.0739,-0.0243,0.0185,-0.0068,0.0048,-0.0012,0.0014,0.0001,0.0426,-0.1023
Paraguay,D,0.3626,-0.2616,0.1457,-0.1431,0.0437,-0.0548,0.0142,-0.0171,0.0043,-0.0052,0.001,-0.0016,0.0374,-0.1584
South Africa,A,0.2492,-0.1119,0.0735,-0.0337,0.0158,-0.0073,0.0019,-0.0014,0.0005,-0.0001,0.0003,0.0,0.0092,-0.0461
DR Congo,K,0.4793,0.1262,0.1161,0.0238,0.0262,0.0038,0.0059,0.0003,0.0013,0.0001,0.0003,0.0002,0.0476,0.0029
Ghana,L,0.672,0.3265,0.1275,0.0571,0.0318,0.0146,0.0069,0.0033,0.0011,0.0004,0.0003,0.0002,0.0491,0.019
Uzbekistan,K,0.2677,-0.1178,0.0663,-0.0402,0.0168,-0.0106,0.0049,-0.0014,0.0013,0.0001,0.0001,0.0,0.0085,-0.0447
Saudi Arabia,H,0.3906,0.0537,0.0654,-0.0039,0.0161,-0.0005,0.0032,-0.0002,0.0006,0.0001,0.0001,0.0001,0.0401,0.0177
Bosnia and Herzegovina,B,0.6313,0.0539,0.1942,0.0125,0.0474,0.0016,0.0077,0.0015,0.001,-0.0003,0.0001,-0.0001,0.1542,0.0399
Cape Verde,H,0.5028,0.1641,0.0932,0.0309,0.0199,0.0048,0.0032,0.0005,0.0005,0.0003,0.0001,0.0001,0.0556,0.0336
New Zealand,G,0.3216,0.0163,0.0919,0.0102,0.0167,0.0018,0.0026,-0.0002,0.0004,-0.0002,0.0001,0.0001,0.0428,0.0008
Jordan,J,0.0935,-0.121,0.0243,-0.0188,0.0053,-0.005,0.0006,-0.0006,0.0,-0.0001,0.0,-0.0001,0.0042,-0.0111
Qatar,B,0.3989,0.0757,0.089,0.0186,0.0147,0.0024,0.0015,0.0003,0.0001,-0.0002,0.0,0.0,0.0853,0.0397
Iraq,I,0.0878,-0.1438,0.0164,-0.0343,0.0042,-0.0068,0.0003,-0.0015,0.0001,-0.0003,0.0,-0.0001,0.0042,-0.0186
Haiti,C,0.0459,-0.1256,0.0058,-0.017,0.0008,-0.0031,0.0001,-0.0004,0.0,-0.0001,0.0,0.0,0.0019,-0.008
Tunisia,F,0.1046,-0.2142,0.0175,-0.0426,0.0045,-0.0118,0.001,-0.0029,0.0002,-0.0005,0.0,-0.0001,0.0112,-0.0335
Curaçao,E,0.0491,-0.0476,0.005,-0.005,0.0004,-0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0013,-0.0035
Panama,L,0.1215,-0.2726,0.0246,-0.0636,0.0071,-0.0144,0.0015,-0.0028,0.0001,-0.0008,0.0,-0.0001,0.0089,-0.0251
